White	White ELO	Black	Black ELO	Result	Date
Dominguez Perez, Leinier	2726	Shankland, Sam	2616	1/2-1/2	2022.07.10
Wei, Yi	2752	Dominguez Perez, Leinier	2726	1-0	2022.07.10
Dominguez Perez, Leinier	2726	Duda, Jan-Krzysztof	2808	1/2-1/2	2022.07.11
Dreev, Aleksey	2625	Dominguez Perez, Leinier	2728	1-0	2022.03.12
Tabatabaei, M. Amin	2544	Dominguez Perez, Leinier	2728	1-0	2022.03.12
Dominguez Perez, Leinier	2726	Giri, Anish	2721	1/2-1/2	2022.07.12
Sadhwani, Raunak	2622	Dominguez Perez, Leinier	2754	1-0	2022.08.06
Dominguez Perez, Leinier	2754	Banikas, Hristos	2598	1/2-1/2	2022.08.07
Erigaisi, Arjun	2689	Dominguez Perez, Leinier	2754	1-0	2022.08.09
Dominguez Perez, Leinier	2705	Xiong, Jeffery	2725	1/2-1/2	2022.08.26
Dominguez Perez, Leinier	2705	Nepomniachtchi, Ian	2795	1/2-1/2	2022.08.27
Dominguez Perez, Leinier	2705	Vachier-Lagrave, Maxime	2763	1/2-1/2	2022.08.28
Mamedyarov, Shakhriyar	2695	Dominguez Perez, Leinier	2705	1-0	2022.08.28
Caruana, Fabiano	2847	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Vachier-Lagrave, Maxime	2812	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Xiong, Jeffery	2714	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Aronian, Levon	2850	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Dominguez Perez, Leinier	2708	Shankland, Sam	2645	1/2-1/2	2022.08.30
Nakamura, Hikaru	2850	Dominguez Perez, Leinier	2708	1-0	2022.08.30
Dominguez Perez, Leinier	2754	Vachier-Lagrave, Maxime	2757	1/2-1/2	2022.09.02
Dominguez Perez, Leinier	2754	Nepomniachtchi, Ian	2792	1/2-1/2	2022.09.04
Dominguez Perez, Leinier	2745	Niemann, Hans Moke	2688	1/2-1/2	2022.09.06
Dominguez Perez, Leinier	2745	Firouzja, Alireza	2778	1/2-1/2	2022.09.09
Dominguez Perez, Leinier	2745	Mamedyarov, Shakhriyar	2757	1/2-1/2	2022.09.10
Dominguez Perez, Leinier	2703	Hansen, Eric	2579	1/2-1/2	2022.09.22
Dominguez Perez, Leinier	0	Mamedyarov, Shakhriyar	0	1/2-1/2	Tue Nov 12 2019
Dominguez Perez, Leinier	0	Rapport, Richard	0	1/2-1/2	Fri Nov 15 2019
Dominguez Perez, Leinier	0	Mamedyarov, Shakhriyar	0	1/2-1/2	Fri Dec 27 2019
Dominguez Perez, Leinier	0	Jumabayev, Rinat	0	1/2-1/2	Thu Dec 26 2019
Dominguez Perez, Leinier	0	Kobalia, Mikhail	0	0-1	Sun Dec 29 2019
Dominguez Perez, Leinier	0	Predke, Alexandr	0	0-1	Sun Dec 29 2019
Dominguez Perez, Leinier	0	Sadhwani, Raunak	0	1/2-1/2	Mon Dec 30 2019
Dominguez Perez, Leinier	0	Turov, Maxim	0	1/2-1/2	Mon Dec 30 2019
Dominguez Perez, Leinier	0	Kazhgaleyev, Murtas	0	0-1	Sun Dec 29 2019
Dominguez Perez, Leinier	0	Khanin, Semen	0	1/2-1/2	Sun Dec 29 2019
Dominguez Perez, Leinier	0	Duda, Jan-Krzysztof	0	1/2-1/2	Sat Dec 28 2019
Dominguez Perez, Leinier	0	Chigaev, Maksim	0	0-1	Mon Dec 30 2019
Dominguez Perez,L	2739	Topalov,V	2740	0-1	2019.02.20
Dominguez Perez,L	2739	Topalov,V	2740	0-1	2019.02.20
Dominguez Perez,L	2739	Topalov,V	2740	0-1	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	0-1	2019.02.23
Dominguez Perez,L	2750	Vidit,S	2707	0-1	2019.05.17
Dominguez Perez,L	2750	Gelfand,B	2676	0-1	2019.05.17
Dominguez Perez,L	2750	Fedoseev,Vl3	2683	0-1	2019.05.17
Dominguez Perez,L	2763	Yu Yangyi	2752	0-1	2019.08.10
Dominguez Perez,L	2763	Mamedyarov,S	2764	0-1	2019.08.13
Dominguez Perez,L	2763	Karjakin,Sergey	2750	0-1	2019.08.13
Dominguez Perez,L	2763	Mihajlov,Seb	2387	0-1	2019.09.25
Dominguez Perez,L	2763	Mihajlov,Seb	2387	1-0	2019.09.25
Dominguez Perez,L	2763	Mihajlov,Seb	2387	1-0	2019.09.25
Dominguez Perez, Leinier	0	Guseinov, Gadir	0	1/2-1/2	Fri Dec 27 2019
Dominguez Perez, Leinier	0	Nakamura, Hikaru	0	1/2-1/2	Sat Dec 28 2019
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.20
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.20
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.20
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Topalov,V	2740	1/2-1/2	2019.02.23
Dominguez Perez,L	2739	Shankland,S	2731	1/2-1/2	2019.03.20
Dominguez Perez,L	2739	Xiong,Jeffery	2663	1/2-1/2	2019.03.20
Dominguez Perez,L	2739	Gareev,T	2557	1/2-1/2	2019.03.20
Dominguez Perez,L	2750	Cheparinov,I	2667	1/2-1/2	2019.05.17
Dominguez Perez,L	2750	Leko,P	2674	1/2-1/2	2019.05.17
Dominguez Perez,L	2750	Andreikin,D	2722	1/2-1/2	2019.05.17
Dominguez Perez,L	2750	Jones,G	2702	1/2-1/2	2019.05.17
Dominguez Perez,L	2750	Bu Xiangzhi	2729	1/2-1/2	2019.05.17
Dominguez Perez,L	2750	Fedoseev,Vl3	2683	1/2-1/2	2019.05.14
Dominguez Perez,L	2750	Vidit,S	2707	1/2-1/2	2019.05.14
Dominguez Perez,L	2750	Rapport,R	2736	1/2-1/2	2019.05.14
Dominguez Perez,L	2760	Gelfand,B	2676	1/2-1/2	2019.06.23
Dominguez Perez,L	2760	Radjabov,T	2759	1/2-1/2	2019.07.13
Gareyev, Timur	0	Dominguez Perez, Leinier	0	1-0	Sun Dec 29 2019
Socko, Bartosz	0	Dominguez Perez, Leinier	0	1-0	Sun Dec 29 2019
Laznicka, Viktor	0	Dominguez Perez, Leinier	0	1-0	Sun Dec 29 2019
